problem,algorithm,size_set,size,seed,iterations,fitness_evaluations,reached_optimum
onemax,(1+1) EA,small,10,0,27,28,True
onemax,(1+1) EA,small,10,1,36,37,True
onemax,(1+1) EA,small,10,2,36,37,True
onemax,(1+1) EA,small,10,3,37,38,True
onemax,(1+1) EA,small,10,4,55,56,True
onemax,(1+1) EA,small,10,5,59,60,True
onemax,(1+1) EA,small,10,6,70,71,True
onemax,(1+1) EA,small,10,7,22,23,True
onemax,(1+1) EA,small,10,8,48,49,True
onemax,(1+1) EA,small,10,9,25,26,True
onemax,(1+1) EA,small,10,10,84,85,True
onemax,(1+1) EA,small,10,11,38,39,True
onemax,(1+1) EA,small,10,12,22,23,True
onemax,(1+1) EA,small,10,13,35,36,True
onemax,(1+1) EA,small,10,14,50,51,True
onemax,(1+1) EA,small,10,15,34,35,True
onemax,(1+1) EA,small,10,16,19,20,True
onemax,(1+1) EA,small,10,17,29,30,True
onemax,(1+1) EA,small,10,18,62,63,True
onemax,(1+1) EA,small,10,19,94,95,True
onemax,(1+1) EA,small,20,0,93,94,True
onemax,(1+1) EA,small,20,1,112,113,True
onemax,(1+1) EA,small,20,2,79,80,True
onemax,(1+1) EA,small,20,3,183,184,True
onemax,(1+1) EA,small,20,4,76,77,True
onemax,(1+1) EA,small,20,5,53,54,True
onemax,(1+1) EA,small,20,6,148,149,True
onemax,(1+1) EA,small,20,7,81,82,True
onemax,(1+1) EA,small,20,8,108,109,True
onemax,(1+1) EA,small,20,9,65,66,True
onemax,(1+1) EA,small,20,10,123,124,True
onemax,(1+1) EA,small,20,11,188,189,True
onemax,(1+1) EA,small,20,12,77,78,True
onemax,(1+1) EA,small,20,13,55,56,True
onemax,(1+1) EA,small,20,14,83,84,True
onemax,(1+1) EA,small,20,15,202,203,True
onemax,(1+1) EA,small,20,16,56,57,True
onemax,(1+1) EA,small,20,17,92,93,True
onemax,(1+1) EA,small,20,18,149,150,True
onemax,(1+1) EA,small,20,19,534,535,True
onemax,(1+1) EA,small,30,0,515,516,True
onemax,(1+1) EA,small,30,1,312,313,True
onemax,(1+1) EA,small,30,2,235,236,True
onemax,(1+1) EA,small,30,3,124,125,True
onemax,(1+1) EA,small,30,4,197,198,True
onemax,(1+1) EA,small,30,5,401,402,True
onemax,(1+1) EA,small,30,6,218,219,True
onemax,(1+1) EA,small,30,7,283,284,True
onemax,(1+1) EA,small,30,8,228,229,True
onemax,(1+1) EA,small,30,9,148,149,True
onemax,(1+1) EA,small,30,10,325,326,True
onemax,(1+1) EA,small,30,11,218,219,True
onemax,(1+1) EA,small,30,12,204,205,True
onemax,(1+1) EA,small,30,13,262,263,True
onemax,(1+1) EA,small,30,14,159,160,True
onemax,(1+1) EA,small,30,15,514,515,True
