problem,problem_type,n,instance,algorithm,config_label,seed,rho,archive_size,num_ants,q0,alpha,beta,max_iterations,fitness_evaluations,iterations,final_fitness,reached_optimum,best_cost,gap_percent,elapsed_seconds
onemax,bitstring,100,,MMAS,"rho=0.05, ants=10",0,0.05,,10,,,,50000,1570,156,100,True,,,0.01410818099975586
onemax,bitstring,100,,MMAS,"rho=0.05, ants=10",1,0.05,,10,,,,50000,2280,227,100,True,,,0.0197908878326416
onemax,bitstring,100,,MMAS,"rho=0.05, ants=10",2,0.05,,10,,,,50000,1670,166,100,True,,,0.014117956161499023
onemax,bitstring,100,,MMAS,"rho=0.05, ants=10",3,0.05,,10,,,,50000,2060,205,100,True,,,0.017564058303833008
onemax,bitstring,100,,MMAS,"rho=0.05, ants=10",4,0.05,,10,,,,50000,1960,195,100,True,,,0.016783952713012695
onemax,bitstring,100,,MMAS,"rho=0.1, ants=10",0,0.1,,10,,,,50000,1500,149,100,True,,,0.012720823287963867
onemax,bitstring,100,,MMAS,"rho=0.1, ants=10",1,0.1,,10,,,,50000,2060,205,100,True,,,0.017503976821899414
onemax,bitstring,100,,MMAS,"rho=0.1, ants=10",2,0.1,,10,,,,50000,1810,180,100,True,,,0.015285015106201172
onemax,bitstring,100,,MMAS,"rho=0.1, ants=10",3,0.1,,10,,,,50000,1140,113,100,True,,,0.009799957275390625
onemax,bitstring,100,,MMAS,"rho=0.1, ants=10",4,0.1,,10,,,,50000,1540,153,100,True,,,0.013520240783691406
onemax,bitstring,100,,MMAS,"rho=0.5, ants=10",0,0.5,,10,,,,50000,1350,134,100,True,,,0.011207103729248047
onemax,bitstring,100,,MMAS,"rho=0.5, ants=10",1,0.5,,10,,,,50000,1240,123,100,True,,,0.01043701171875
onemax,bitstring,100,,MMAS,"rho=0.5, ants=10",2,0.5,,10,,,,50000,1070,106,100,True,,,0.009029150009155273
onemax,bitstring,100,,MMAS,"rho=0.5, ants=10",3,0.5,,10,,,,50000,1040,103,100,True,,,0.008949995040893555
onemax,bitstring,100,,MMAS,"rho=0.5, ants=10",4,0.5,,10,,,,50000,1870,186,100,True,,,0.01584315299987793
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.7",0,,10,30,0.7,,,50000,180,5,100,True,,,0.0025131702423095703
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.7",1,,10,30,0.7,,,50000,210,6,100,True,,,0.002579212188720703
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.7",2,,10,30,0.7,,,50000,240,7,100,True,,,0.0033369064331054688
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.7",3,,10,30,0.7,,,50000,210,6,100,True,,,0.0026290416717529297
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.7",4,,10,30,0.7,,,50000,210,6,100,True,,,0.002674102783203125
