problem,problem_type,n,instance,algorithm,config_label,rho,archive_size,num_ants,q0,alpha,beta,trials,success_rate,mean_evals_success,std_evals_success,min_evals_success,max_evals_success,mean_final_fitness,std_final_fitness,mean_cost,std_cost,min_cost,max_cost,mean_gap_percent,std_gap_percent,min_gap_percent
leadingones,bitstring,100,,MMAS,"rho=0.05, ants=10",0.05,,10,,,,5,1.0,10270.0,1488.0456982230082,8490.0,12130.0,100.0,0.0,,,,,,,
leadingones,bitstring,300,,MMAS,"rho=0.05, ants=10",0.05,,10,,,,5,1.0,77746.0,1359.5087348009206,75870.0,80020.0,300.0,0.0,,,,,,,
leadingones,bitstring,500,,MMAS,"rho=0.05, ants=10",0.05,,10,,,,5,1.0,206294.0,22328.126298460425,177530.0,237140.0,500.0,0.0,,,,,,,
leadingones,bitstring,100,,MMAS,"rho=0.1, ants=10",0.1,,10,,,,5,1.0,9944.0,1896.835259056516,7190.0,12270.0,100.0,0.0,,,,,,,
leadingones,bitstring,300,,MMAS,"rho=0.1, ants=10",0.1,,10,,,,5,1.0,74092.0,6494.170924760142,64230.0,79990.0,300.0,0.0,,,,,,,
leadingones,bitstring,500,,MMAS,"rho=0.1, ants=10",0.1,,10,,,,5,1.0,205510.0,16610.88679149912,184920.0,227570.0,500.0,0.0,,,,,,,
leadingones,bitstring,100,,MMAS,"rho=0.5, ants=10",0.5,,10,,,,5,1.0,8430.0,1527.0625396492444,6500.0,10720.0,100.0,0.0,,,,,,,
leadingones,bitstring,300,,MMAS,"rho=0.5, ants=10",0.5,,10,,,,5,1.0,82380.0,9618.554985027637,70560.0,92600.0,300.0,0.0,,,,,,,
leadingones,bitstring,500,,MMAS,"rho=0.5, ants=10",0.5,,10,,,,5,1.0,216948.0,15694.848071899263,194880.0,237410.0,500.0,0.0,,,,,,,
leadingones,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.7",,10,30,0.7,,,5,1.0,282.0,24.0,270.0,330.0,100.0,0.0,,,,,,,
leadingones,bitstring,300,,P-ACO,"K=10, ants=30, q0=0.7",,10,30,0.7,,,5,1.0,474.0,22.44994432064365,450.0,510.0,300.0,0.0,,,,,,,
leadingones,bitstring,500,,P-ACO,"K=10, ants=30, q0=0.7",,10,30,0.7,,,5,1.0,516.0,34.9857113690718,450.0,540.0,500.0,0.0,,,,,,,
leadingones,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.9",,10,30,0.9,,,5,1.0,984.0,51.61395160225576,930.0,1080.0,100.0,0.0,,,,,,,
leadingones,bitstring,300,,P-ACO,"K=10, ants=30, q0=0.9",,10,30,0.9,,,5,1.0,1608.0,74.93997598078077,1530.0,1710.0,300.0,0.0,,,,,,,
leadingones,bitstring,500,,P-ACO,"K=10, ants=30, q0=0.9",,10,30,0.9,,,5,1.0,1812.0,97.85703858180054,1680.0,1980.0,500.0,0.0,,,,,,,
leadingones,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.7",,20,30,0.7,,,5,1.0,162.0,24.0,120.0,180.0,100.0,0.0,,,,,,,
leadingones,bitstring,300,,P-ACO,"K=20, ants=30, q0=0.7",,20,30,0.7,,,5,1.0,252.0,40.69397989875161,210.0,330.0,300.0,0.0,,,,,,,
leadingones,bitstring,500,,P-ACO,"K=20, ants=30, q0=0.7",,20,30,0.7,,,5,1.0,324.0,51.61395160225576,270.0,420.0,500.0,0.0,,,,,,,
leadingones,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.9",,20,30,0.9,,,5,1.0,840.0,78.23042886243178,780.0,990.0,100.0,0.0,,,,,,,
leadingones,bitstring,300,,P-ACO,"K=20, ants=30, q0=0.9",,20,30,0.9,,,5,1.0,1296.0,97.48846085563153,1170.0,1410.0,300.0,0.0,,,,,,,
leadingones,bitstring,500,,P-ACO,"K=20, ants=30, q0=0.9",,20,30,0.9,,,5,1.0,1614.0,22.44994432064365,1590.0,1650.0,500.0,0.0,,,,,,,
onemax,bitstring,100,,MMAS,"rho=0.05, ants=10",0.05,,10,,,,5,1.0,1908.0,258.87448696231155,1570.0,2280.0,100.0,0.0,,,,,,,
onemax,bitstring,300,,MMAS,"rho=0.05, ants=10",0.05,,10,,,,5,1.0,8030.0,443.44108966129875,7490.0,8700.0,300.0,0.0,,,,,,,
onemax,bitstring,500,,MMAS,"rho=0.05, ants=10",0.05,,10,,,,5,1.0,13254.0,614.250763125289,12560.0,14150.0,500.0,0.0,,,,,,,
onemax,bitstring,100,,MMAS,"rho=0.1, ants=10",0.1,,10,,,,5,1.0,1610.0,309.96774025695,1140.0,2060.0,100.0,0.0,,,,,,,
onemax,bitstring,300,,MMAS,"rho=0.1, ants=10",0.1,,10,,,,5,1.0,5886.0,573.5712684575475,4870.0,6550.0,300.0,0.0,,,,,,,
onemax,bitstring,500,,MMAS,"rho=0.1, ants=10",0.1,,10,,,,5,1.0,11070.0,1355.0055350440455,9390.0,13480.0,500.0,0.0,,,,,,,
onemax,bitstring,100,,MMAS,"rho=0.5, ants=10",0.5,,10,,,,5,1.0,1314.0,300.17328328817007,1040.0,1870.0,100.0,0.0,,,,,,,
onemax,bitstring,300,,MMAS,"rho=0.5, ants=10",0.5,,10,,,,5,1.0,5014.0,1060.9731382085033,3220.0,6460.0,300.0,0.0,,,,,,,
onemax,bitstring,500,,MMAS,"rho=0.5, ants=10",0.5,,10,,,,5,1.0,7258.0,1431.5781501545769,5820.0,9990.0,500.0,0.0,,,,,,,
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.7",,10,30,0.7,,,5,1.0,210.0,18.973665961010276,180.0,240.0,100.0,0.0,,,,,,,
onemax,bitstring,300,,P-ACO,"K=10, ants=30, q0=0.7",,10,30,0.7,,,5,1.0,354.0,22.44994432064365,330.0,390.0,300.0,0.0,,,,,,,
onemax,bitstring,500,,P-ACO,"K=10, ants=30, q0=0.7",,10,30,0.7,,,5,1.0,372.0,14.696938456699069,360.0,390.0,500.0,0.0,,,,,,,
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.9",,10,30,0.9,,,5,1.0,546.0,12.0,540.0,570.0,100.0,0.0,,,,,,,
onemax,bitstring,300,,P-ACO,"K=10, ants=30, q0=0.9",,10,30,0.9,,,5,1.0,888.0,40.69397989875161,810.0,930.0,300.0,0.0,,,,,,,
onemax,bitstring,500,,P-ACO,"K=10, ants=30, q0=0.9",,10,30,0.9,,,5,1.0,1068.0,44.8998886412873,990.0,1110.0,500.0,0.0,,,,,,,
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.7",,20,30,0.7,,,5,1.0,132.0,14.696938456699069,120.0,150.0,100.0,0.0,,,,,,,
onemax,bitstring,300,,P-ACO,"K=20, ants=30, q0=0.7",,20,30,0.7,,,5,1.0,210.0,26.832815729997478,180.0,240.0,300.0,0.0,,,,,,,
onemax,bitstring,500,,P-ACO,"K=20, ants=30, q0=0.7",,20,30,0.7,,,5,1.0,222.0,24.0,180.0,240.0,500.0,0.0,,,,,,,
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.9",,20,30,0.9,,,5,1.0,450.0,65.72670690061993,390.0,570.0,100.0,0.0,,,,,,,
onemax,bitstring,300,,P-ACO,"K=20, ants=30, q0=0.9",,20,30,0.9,,,5,1.0,714.0,34.9857113690718,660.0,750.0,300.0,0.0,,,,,,,
onemax,bitstring,500,,P-ACO,"K=20, ants=30, q0=0.9",,20,30,0.9,,,5,1.0,906.0,34.9857113690718,870.0,960.0,500.0,0.0,,,,,,,
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=2",0.05,,10,,1.0,2.0,15,0.3333333333333333,,,,,,,7726.133333333333,158.42805587675716,7542.0,7991.0,2.4414390524175724,2.10061065866822,0.0
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",0.05,,10,,1.0,3.0,15,0.6,,,,,,,7628.2,113.6158439655315,7542.0,7902.0,1.1429329090426943,1.5064418452072592,0.0
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",0.1,,10,,1.0,2.0,15,0.4,,,,,,,7736.733333333334,193.6128324489079,7542.0,8215.0,2.5819853266153983,2.5671285129794206,0.0
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",0.1,,10,,1.0,3.0,15,0.5333333333333333,,,,,,,7640.266666666666,118.11094595995561,7542.0,7944.0,1.3029258375320427,1.5660427732691014,0.0
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",0.5,,10,,1.0,2.0,15,0.2,,,,,,,7776.666666666667,164.67085014928685,7542.0,8011.0,3.111464686643684,2.1833843827802553,0.0
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",0.5,,10,,1.0,3.0,15,0.26666666666666666,,,,,,,7785.0,169.62664884976064,7542.0,7986.0,3.221957040572792,2.249093726461955,0.0
tsp,tsp,52,berlin52,P-ACO,"K=10, ants=30, q0=0.7, beta=2",,10,30,0.7,1.0,2.0,15,0.8666666666666667,,,,,,,7581.0,108.58422230385652,7542.0,7954.0,0.5171042163882259,1.4397271586297604,0.0
tsp,tsp,52,berlin52,P-ACO,"K=10, ants=30, q0=0.7, beta=3",,10,30,0.7,1.0,3.0,15,1.0,,,,,,,7542.0,0.0,7542.0,7542.0,0.0,0.0,0.0
tsp,tsp,52,berlin52,P-ACO,"K=10, ants=30, q0=0.9, beta=2",,10,30,0.9,1.0,2.0,15,0.8666666666666667,,,,,,,7585.733333333334,114.7260311447329,7542.0,7944.0,0.5798638734199594,1.521161908575085,0.0
tsp,tsp,52,berlin52,P-ACO,"K=10, ants=30, q0=0.9, beta=3",,10,30,0.9,1.0,3.0,15,0.9333333333333333,,,,,,,7553.533333333334,43.15378186079279,7542.0,7715.0,0.15292141783788563,0.5721795526490691,0.0
tsp,tsp,52,berlin52,P-ACO,"K=20, ants=30, q0=0.7, beta=2",,20,30,0.7,1.0,2.0,15,1.0,,,,,,,7542.0,0.0,7542.0,7542.0,0.0,0.0,0.0
tsp,tsp,52,berlin52,P-ACO,"K=20, ants=30, q0=0.7, beta=3",,20,30,0.7,1.0,3.0,15,0.9333333333333333,,,,,,,7563.333333333333,79.8220242511774,7542.0,7862.0,0.28286042605851675,1.0583668025878734,0.0
tsp,tsp,52,berlin52,P-ACO,"K=20, ants=30, q0=0.9, beta=2",,20,30,0.9,1.0,2.0,15,0.8666666666666667,,,,,,,7566.066666666667,61.41928759672232,7542.0,7730.0,0.3191019181472642,0.8143633995852868,0.0
tsp,tsp,52,berlin52,P-ACO,"K=20, ants=30, q0=0.9, beta=3",,20,30,0.9,1.0,3.0,15,0.8666666666666667,,,,,,,7542.666666666667,1.6996731711975948,7542.0,7547.0,0.008839388314328648,0.022536106751492906,0.0
