problem,instance,algorithm,config_label,evaluations,mean_cost,std_cost
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",0,14192.133333333333,552.2319399994494
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",120,12349.328514056226,475.47355118365476
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",241,11628.396787148593,519.7205685051043
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",361,11042.624096385542,504.0150097532928
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",482,10378.179919678714,488.69384000571165
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",602,9814.390361445783,284.9555732572063
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",723,9613.24578313253,220.65337836666563
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",843,9275.06746987952,207.04179820532238
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",964,8993.093172690764,331.5633012577289
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",1084,8827.630522088353,307.0457365141935
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",1205,8668.266666666666,334.30195266488585
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",1325,8532.804016064258,304.2689781116574
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",1446,8469.878714859438,273.9539497502542
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",1566,8389.964658634539,257.06201300531797
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",1687,8343.300401606426,229.8717555906386
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",1807,8260.866666666667,224.48871290606624
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",1928,8228.484337349399,228.27257147602288
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",2048,8173.533333333334,210.42175637408684
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",2169,8136.025702811245,205.62933668006164
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",2289,8083.991164658636,197.38751574768452
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",2410,8043.133333333333,149.36169373556112
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",2530,8027.878714859437,157.50488332274574
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",2651,8015.4,153.26308535760765
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",2771,8000.0,140.76836765883638
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",2892,7989.266666666666,124.53940028048241
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3012,7984.333333333333,134.10675681046882
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3133,7973.533333333334,135.46998027443408
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3253,7968.333333333333,131.00313821516727
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3373,7966.533333333334,129.18352148096218
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3494,7954.933333333333,123.18358476499843
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3614,7951.6,121.84405333594798
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3735,7950.21686746988,120.93573506325615
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3855,7940.583935742971,119.7919181759083
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",3976,7935.2,118.24167342072478
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",4096,7922.2,124.29438174484531
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",4217,7917.333333333333,116.34641760230045
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",4337,7916.733333333334,115.4899514628389
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",4458,7915.2,112.98625285110278
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",4578,7914.866666666667,112.47332523264744
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",4699,7909.6,115.32782260437706
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",4819,7901.367871485943,113.0490698873009
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",4940,7896.6,106.66258325517279
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",5060,7896.6,106.66258325517279
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",5181,7896.6,106.66258325517279
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",5301,7890.866666666667,106.54067559179242
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",5422,7887.666666666667,103.34709585770769
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",5542,7884.733333333334,102.8121047780313
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",5663,7884.29156626506,102.25987738059735
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",5783,7882.419277108434,100.88417183181669
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",5904,7877.4,94.84077885241841
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6024,7877.4,94.84077885241841
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6145,7876.466666666666,95.16432571551636
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6265,7876.133333333333,94.84434031026251
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6386,7876.133333333333,94.84434031026251
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6506,7876.012851405623,94.89510962264103
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6627,7874.6,95.82817957156443
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6747,7873.4,96.84957408269796
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6867,7873.4,96.84957408269796
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",6988,7873.4,96.84957408269796
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",7108,7873.4,96.84957408269796
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",7229,7871.733333333334,94.42843262963169
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",7349,7868.133333333333,96.12621332856553
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",7470,7864.266666666666,91.85602260542794
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",7590,7861.168674698795,92.00927676695017
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",7711,7859.866666666667,91.6157676870575
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",7831,7859.533333333334,91.64923470614593
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",7952,7859.133333333333,91.03469424101755
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",8072,7859.133333333333,91.03469424101755
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",8193,7859.066666666667,91.0907727977367
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",8313,7859.066666666667,91.0907727977367
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",8434,7859.066666666667,91.0907727977367
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",8554,7857.533333333334,92.55691342207896
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",8675,7857.533333333334,92.55691342207896
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",8795,7857.533333333334,92.55691342207896
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",8916,7857.533333333334,92.55691342207896
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",9036,7856.933333333333,92.45140465251039
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",9157,7853.866666666667,87.03169282253194
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",9277,7853.4,86.74775693545817
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",9398,7837.266666666666,94.6075871986785
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",9518,7837.266666666666,94.6075871986785
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",9639,7830.266666666666,96.40709978465739
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",9759,7830.266666666666,96.40709978465739
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",9880,7830.266666666666,96.40709978465739
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10000,7830.133333333333,96.42950217069922
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10120,7830.133333333333,96.42950217069922
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10241,7829.0,98.39647690169942
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10361,7826.8,102.60812183578192
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10482,7826.8,102.60812183578192
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10602,7825.266666666666,102.97408519730692
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10723,7825.266666666666,102.97408519730692
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10843,7822.933333333333,104.13674770330704
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",10964,7822.6,104.36142326868999
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",11084,7822.6,104.36142326868999
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",11205,7822.6,104.36142326868999
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",11325,7822.6,104.36142326868999
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",11446,7822.6,104.36142326868999
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",11566,7822.6,104.36142326868999
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",11687,7822.6,104.36142326868999
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",11807,7819.0,111.9761879448781
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",11928,7812.4,106.6963292089595
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",12048,7811.733333333334,107.25761304241091
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",12169,7811.733333333334,107.25761304241091
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",12289,7811.733333333334,107.25761304241091
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",12410,7811.733333333334,107.25761304241091
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",12530,7811.733333333334,107.25761304241091
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",12651,7807.733333333334,111.7410498528729
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",12771,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",12892,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13012,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13133,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13253,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13373,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13494,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13614,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13735,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13855,7797.333333333333,112.76977530447698
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",13976,7794.066666666667,113.69870516217657
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",14096,7794.066666666667,113.69870516217657
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",14217,7794.066666666667,113.69870516217657
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",14337,7794.066666666667,113.69870516217657
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",14458,7794.066666666667,113.69870516217657
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",14578,7791.133333333333,113.19709458383737
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",14699,7791.133333333333,113.19709458383737
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",14819,7789.866666666667,113.30893855100555
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",14940,7786.333333333333,114.66046494856988
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15060,7781.733333333334,119.46517856216047
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15181,7781.733333333334,119.46517856216047
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15301,7781.733333333334,119.46517856216047
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15422,7780.266666666666,120.60152938038925
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15542,7776.333333333333,126.15052736931207
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15663,7772.466666666666,129.96710694975437
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15783,7769.066666666667,129.58110287469472
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15904,7767.533333333334,132.09838084633066
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16024,7767.533333333334,132.09838084633066
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16145,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16265,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16386,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16506,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16627,7754.733333333334,136.58914874745926
