problem,crossover,generation,fitness_evaluations,mean_fitness,std_fitness,min_fitness,max_fitness,bit_length,trials
onemax,single_point,0,5,55.12,3.32048189273786,48.0,63.0,100,50
onemax,single_point,1,30,58.54,3.1190383133267217,53.0,66.0,100,50
onemax,single_point,2,55,60.94,3.1203204963593083,55.0,71.0,100,50
onemax,single_point,3,80,62.92,3.3813606728652887,57.0,72.0,100,50
onemax,single_point,4,105,64.96,3.2982419559516853,58.0,74.0,100,50
onemax,single_point,5,130,66.72,3.310830711468045,59.0,76.0,100,50
onemax,single_point,6,155,68.6,3.4351128074635335,62.0,79.0,100,50
onemax,single_point,7,180,70.48,3.5566276161555064,63.0,81.0,100,50
onemax,single_point,8,205,72.08,3.626789213615812,64.0,82.0,100,50
onemax,single_point,9,230,73.8,3.382306905057553,66.0,83.0,100,50
onemax,single_point,10,255,75.26,3.1988122795812823,67.0,84.0,100,50
onemax,single_point,11,280,76.64,3.179685519041152,69.0,85.0,100,50
onemax,single_point,12,305,78.02,3.1336240999839142,70.0,86.0,100,50
onemax,single_point,13,330,79.38,3.065224298481271,72.0,87.0,100,50
onemax,single_point,14,355,80.62,2.9522195040342107,73.0,88.0,100,50
onemax,single_point,15,380,81.8,2.95296461204668,74.0,89.0,100,50
onemax,single_point,16,405,82.88,2.970791140420343,74.0,90.0,100,50
onemax,single_point,17,430,83.86,2.9530323398161418,76.0,91.0,100,50
onemax,single_point,18,455,84.84,2.9418361613115027,77.0,91.0,100,50
onemax,single_point,19,480,85.9,2.8583211855912904,77.0,92.0,100,50
onemax,single_point,20,505,86.92,2.9518807563992144,78.0,93.0,100,50
onemax,single_point,21,530,87.82,2.9508642801728446,78.0,94.0,100,50
onemax,single_point,22,555,88.64,2.889705867385122,79.0,95.0,100,50
onemax,single_point,23,580,89.6,2.891366458960192,80.0,96.0,100,50
onemax,single_point,24,605,90.42,2.8919889349719163,81.0,97.0,100,50
onemax,single_point,25,630,91.14,2.7785607785326563,82.0,97.0,100,50
onemax,single_point,26,655,91.76,2.7244081926172514,82.0,97.0,100,50
onemax,single_point,27,680,92.44,2.5702918122267753,83.0,98.0,100,50
onemax,single_point,28,705,93.0,2.4331050121192876,84.0,98.0,100,50
onemax,single_point,29,730,93.5,2.4186773244895647,85.0,98.0,100,50
onemax,single_point,30,755,94.04,2.3405982141324473,86.0,99.0,100,50
onemax,single_point,31,780,94.44,2.290502128355265,86.0,99.0,100,50
onemax,single_point,32,805,94.9,2.247220505424423,86.0,99.0,100,50
onemax,single_point,33,830,95.22,2.166010156947561,87.0,99.0,100,50
onemax,single_point,34,855,95.62,1.9787875075409183,88.0,99.0,100,50
onemax,single_point,35,880,95.84,1.911648503255763,89.0,99.0,100,50
onemax,single_point,36,905,96.18,1.8835073665903195,90.0,100.0,100,50
onemax,single_point,37,930,96.58,1.7560182231400674,90.0,100.0,100,50
onemax,single_point,38,955,96.84,1.747684181996278,90.0,100.0,100,50
onemax,single_point,39,980,97.08,1.6228370220080635,91.0,100.0,100,50
onemax,single_point,40,1005,97.36,1.5844241856270687,91.0,100.0,100,50
onemax,single_point,41,1030,97.66,1.5698407562552323,91.0,100.0,100,50
onemax,single_point,42,1055,97.78,1.5138031576133009,91.0,100.0,100,50
onemax,single_point,43,1080,98.08,1.4260434775980708,92.0,100.0,100,50
onemax,single_point,44,1105,98.18,1.3219682295728592,93.0,100.0,100,50
onemax,single_point,45,1130,98.42,1.201499063670047,94.0,100.0,100,50
onemax,single_point,46,1155,98.6,1.0392304845413263,95.0,100.0,100,50
onemax,single_point,47,1180,98.76,0.928654941299512,96.0,100.0,100,50
onemax,single_point,48,1205,98.82,0.9526804291051644,96.0,100.0,100,50
onemax,single_point,49,1230,98.98,0.9053176238205018,97.0,100.0,100,50
onemax,single_point,50,1255,99.12,0.7909487973314075,97.0,100.0,100,50
onemax,single_point,51,1280,99.24,0.8138795979750323,97.0,100.0,100,50
onemax,single_point,52,1305,99.3,0.8062257748298549,97.0,100.0,100,50
onemax,single_point,53,1330,99.34,0.7644605941446557,97.0,100.0,100,50
onemax,single_point,54,1355,99.36,0.7683749084919419,97.0,100.0,100,50
onemax,single_point,55,1380,99.46,0.7539230729988305,97.0,100.0,100,50
onemax,single_point,56,1405,99.5,0.7549834435270749,97.0,100.0,100,50
onemax,single_point,57,1430,99.56,0.7525955088890712,97.0,100.0,100,50
onemax,single_point,58,1455,99.56,0.7525955088890712,97.0,100.0,100,50
onemax,single_point,59,1480,99.66,0.6814690014960328,98.0,100.0,100,50
onemax,single_point,60,1505,99.66,0.6814690014960328,98.0,100.0,100,50
onemax,single_point,61,1530,99.72,0.6013318551349164,98.0,100.0,100,50
onemax,single_point,62,1555,99.76,0.5851495535331117,98.0,100.0,100,50
onemax,single_point,63,1580,99.76,0.5851495535331117,98.0,100.0,100,50
onemax,single_point,64,1605,99.8,0.529150262212918,98.0,100.0,100,50
onemax,single_point,65,1630,99.8,0.529150262212918,98.0,100.0,100,50
onemax,single_point,66,1655,99.8,0.529150262212918,98.0,100.0,100,50
onemax,single_point,67,1680,99.82,0.5173006862551026,98.0,100.0,100,50
onemax,single_point,68,1705,99.84,0.46303347611160905,98.0,100.0,100,50
onemax,single_point,69,1730,99.88,0.43081318457076034,98.0,100.0,100,50
onemax,single_point,70,1755,99.9,0.41231056256176607,98.0,100.0,100,50
onemax,single_point,71,1780,99.92,0.33704599092705434,98.0,100.0,100,50
onemax,single_point,72,1805,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,single_point,73,1830,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,single_point,74,1855,99.98,0.14,99.0,100.0,100,50
