problem,crossover,bit_length,mu,lambda,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
onemax,single_point,100,5,25,0,1180,47,100,True,0.012111902236938477
onemax,single_point,100,5,25,1,1355,54,100,True,0.013360023498535156
onemax,single_point,100,5,25,2,1230,49,100,True,0.012135982513427734
onemax,single_point,100,5,25,3,1280,51,100,True,0.012807130813598633
onemax,single_point,100,5,25,4,1330,53,100,True,0.013872146606445312
onemax,single_point,100,5,25,5,1030,41,100,True,0.010512828826904297
onemax,single_point,100,5,25,6,1430,57,100,True,0.014684915542602539
onemax,single_point,100,5,25,7,1730,69,100,True,0.0178530216217041
onemax,single_point,100,5,25,8,1080,43,100,True,0.011436939239501953
onemax,single_point,100,5,25,9,1305,52,100,True,0.013727903366088867
onemax,single_point,100,5,25,10,1555,62,100,True,0.015763044357299805
onemax,single_point,100,5,25,11,1205,48,100,True,0.012320995330810547
onemax,single_point,100,5,25,12,1130,45,100,True,0.011713027954101562
onemax,single_point,100,5,25,13,1480,59,100,True,0.015673160552978516
onemax,single_point,100,5,25,14,1255,50,100,True,0.013622045516967773
onemax,single_point,100,5,25,15,1230,49,100,True,0.013086318969726562
onemax,single_point,100,5,25,16,1380,55,100,True,0.014445066452026367
onemax,single_point,100,5,25,17,1855,74,100,True,0.018864870071411133
onemax,single_point,100,5,25,18,1605,64,100,True,0.01685476303100586
onemax,single_point,100,5,25,19,1405,56,100,True,0.01433110237121582
onemax,single_point,100,5,25,20,1955,78,100,True,0.020373106002807617
onemax,single_point,100,5,25,21,1755,70,100,True,0.017446279525756836
onemax,single_point,100,5,25,22,1430,57,100,True,0.014495849609375
onemax,single_point,100,5,25,23,1380,55,100,True,0.014215946197509766
onemax,single_point,100,5,25,24,1005,40,100,True,0.010345935821533203
onemax,single_point,100,5,25,25,1180,47,100,True,0.01219320297241211
onemax,single_point,100,5,25,26,1280,51,100,True,0.013213872909545898
onemax,single_point,100,5,25,27,1405,56,100,True,0.01509714126586914
onemax,single_point,100,5,25,28,1730,69,100,True,0.017573118209838867
onemax,single_point,100,5,25,29,1380,55,100,True,0.014284133911132812
onemax,single_point,100,5,25,30,1280,51,100,True,0.013159036636352539
onemax,single_point,100,5,25,31,1030,41,100,True,0.010877847671508789
