n,config,mu,lambda,tournament_k,crossover_type,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
100,(1+1),1,1,3,single_point,0,10669,10668,100,True,0.22430777549743652
100,(1+1),1,1,3,single_point,1,9331,9330,100,True,0.19625091552734375
100,(1+1),1,1,3,single_point,2,9145,9144,100,True,0.1920161247253418
100,(1+1),1,1,3,single_point,3,9192,9191,100,True,0.19071722030639648
100,(1+1),1,1,3,single_point,4,9628,9627,100,True,0.19890928268432617
100,(1+1),1,1,3,single_point,5,8727,8726,100,True,0.18193507194519043
100,(1+1),1,1,3,single_point,6,8669,8668,100,True,0.18368291854858398
100,(2+10),2,10,3,single_point,0,7232,723,100,True,0.1131889820098877
100,(2+10),2,10,3,single_point,1,6692,669,100,True,0.08422303199768066
100,(2+10),2,10,3,single_point,2,10432,1043,100,True,0.11997604370117188
100,(2+10),2,10,3,single_point,3,7722,772,100,True,0.06722807884216309
100,(2+10),2,10,3,single_point,4,9292,929,100,True,0.08006525039672852
100,(2+10),2,10,3,single_point,5,8372,837,100,True,0.07211494445800781
100,(2+10),2,10,3,single_point,6,9862,986,100,True,0.08441805839538574
100,(5+25),5,25,3,single_point,0,11030,441,100,True,0.09383821487426758
100,(5+25),5,25,3,single_point,1,10280,411,100,True,0.08610892295837402
100,(5+25),5,25,3,single_point,2,9130,365,100,True,0.07760930061340332
100,(5+25),5,25,3,single_point,3,10455,418,100,True,0.09151482582092285
100,(5+25),5,25,3,single_point,4,10505,420,100,True,0.09064006805419922
100,(5+25),5,25,3,single_point,5,7255,290,100,True,0.0628361701965332
100,(5+25),5,25,3,single_point,6,12605,504,100,True,0.11573505401611328
200,(1+1),1,1,3,single_point,0,35204,35203,200,True,1.2893149852752686
200,(1+1),1,1,3,single_point,1,35357,35356,200,True,1.2626559734344482
200,(1+1),1,1,3,single_point,2,34135,34134,200,True,1.2225000858306885
200,(1+1),1,1,3,single_point,3,32637,32636,200,True,1.1679301261901855
200,(1+1),1,1,3,single_point,4,36133,36132,200,True,1.2923269271850586
200,(1+1),1,1,3,single_point,5,33342,33341,200,True,1.1929452419281006
