n,config,mu,lambda,tournament_k,crossover_type,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
500,(1+1),1,1,3,single_point,0,10566,10565,500,True,0.9783730506896973
500,(1+1),1,1,3,single_point,1,7496,7495,500,True,0.6902029514312744
500,(1+1),1,1,3,single_point,2,6908,6907,500,True,0.6852331161499023
500,(1+1),1,1,3,single_point,3,10376,10375,500,True,1.0039112567901611
500,(1+1),1,1,3,single_point,4,8246,8245,500,True,0.750115156173706
500,(1+1),1,1,3,single_point,5,4929,4928,500,True,0.4410529136657715
500,(1+1),1,1,3,single_point,6,7802,7801,500,True,0.7085723876953125
500,(2+10),2,10,3,single_point,0,6662,666,500,True,0.2658119201660156
500,(2+10),2,10,3,single_point,1,8062,806,500,True,0.32352304458618164
500,(2+10),2,10,3,single_point,2,9412,941,500,True,0.3748140335083008
500,(2+10),2,10,3,single_point,3,7282,728,500,True,0.28942298889160156
500,(2+10),2,10,3,single_point,4,8032,803,500,True,0.320803165435791
500,(2+10),2,10,3,single_point,5,10252,1025,500,True,0.41103410720825195
500,(2+10),2,10,3,single_point,6,10422,1042,500,True,0.4149470329284668
500,(5+25),5,25,3,single_point,0,9255,370,500,True,0.35997629165649414
500,(5+25),5,25,3,single_point,1,8555,342,500,True,0.3339560031890869
500,(5+25),5,25,3,single_point,2,13455,538,500,True,0.5239479541778564
500,(5+25),5,25,3,single_point,3,6680,267,500,True,0.2602810859680176
500,(5+25),5,25,3,single_point,4,6005,240,500,True,0.23407626152038574
500,(5+25),5,25,3,single_point,5,9505,380,500,True,0.3704831600189209
500,(5+25),5,25,3,single_point,6,9130,365,500,True,0.3553330898284912
1000,(1+1),1,1,3,single_point,0,14581,14580,1000,True,2.771104097366333
1000,(1+1),1,1,3,single_point,1,16310,16309,1000,True,3.0142078399658203
1000,(1+1),1,1,3,single_point,2,12441,12440,1000,True,2.2779171466827393
1000,(1+1),1,1,3,single_point,3,15887,15886,1000,True,2.948237180709839
1000,(1+1),1,1,3,single_point,4,25540,25539,1000,True,4.742125034332275
1000,(1+1),1,1,3,single_point,5,13281,13280,1000,True,2.404215097427368
1000,(1+1),1,1,3,single_point,6,13957,13956,1000,True,2.553061008453369
1000,(2+10),2,10,3,single_point,0,14922,1492,1000,True,1.1694707870483398
1000,(2+10),2,10,3,single_point,1,16782,1678,1000,True,1.314655065536499
1000,(2+10),2,10,3,single_point,2,15802,1580,1000,True,1.2366538047790527
1000,(2+10),2,10,3,single_point,3,14292,1429,1000,True,1.1197280883789062
1000,(2+10),2,10,3,single_point,4,17502,1750,1000,True,1.3696770668029785
1000,(2+10),2,10,3,single_point,5,17612,1761,1000,True,1.375411033630371
1000,(2+10),2,10,3,single_point,6,14202,1420,1000,True,1.1100878715515137
1000,(5+25),5,25,3,single_point,0,19155,766,1000,True,1.4568521976470947
1000,(5+25),5,25,3,single_point,1,17705,708,1000,True,1.353261947631836
1000,(5+25),5,25,3,single_point,2,19430,777,1000,True,1.47694993019104
1000,(5+25),5,25,3,single_point,3,16630,665,1000,True,1.2674028873443604
1000,(5+25),5,25,3,single_point,4,21405,856,1000,True,1.6447889804840088
1000,(5+25),5,25,3,single_point,5,23805,952,1000,True,1.8281581401824951
1000,(5+25),5,25,3,single_point,6,18680,747,1000,True,1.4318978786468506
1500,(1+1),1,1,3,single_point,0,28148,28147,1500,True,7.610486030578613
1500,(1+1),1,1,3,single_point,1,25901,25900,1500,True,7.029094219207764
1500,(1+1),1,1,3,single_point,2,27853,27852,1500,True,7.630263805389404
1500,(1+1),1,1,3,single_point,3,31113,31112,1500,True,8.570467233657837
1500,(1+1),1,1,3,single_point,4,25559,25558,1500,True,7.177379846572876
1500,(1+1),1,1,3,single_point,5,17694,17693,1500,True,4.84228777885437
1500,(1+1),1,1,3,single_point,6,24083,24082,1500,True,6.709907054901123
1500,(2+10),2,10,3,single_point,0,26542,2654,1500,True,3.1957907676696777
1500,(2+10),2,10,3,single_point,1,22712,2271,1500,True,2.740056037902832
1500,(2+10),2,10,3,single_point,2,32472,3247,1500,True,3.9244449138641357
1500,(2+10),2,10,3,single_point,3,24232,2423,1500,True,2.9423139095306396
1500,(2+10),2,10,3,single_point,4,29512,2951,1500,True,3.533083915710449
1500,(2+10),2,10,3,single_point,5,35812,3581,1500,True,4.303447961807251
1500,(2+10),2,10,3,single_point,6,22312,2231,1500,True,2.827836275100708
1500,(5+25),5,25,3,single_point,0,36180,1447,1500,True,4.608299970626831
1500,(5+25),5,25,3,single_point,1,35105,1404,1500,True,4.77775502204895
1500,(5+25),5,25,3,single_point,2,29155,1166,1500,True,3.8690459728240967
1500,(5+25),5,25,3,single_point,3,31555,1262,1500,True,4.211103916168213
1500,(5+25),5,25,3,single_point,4,32080,1283,1500,True,4.255876064300537
1500,(5+25),5,25,3,single_point,5,34330,1373,1500,True,4.573038101196289
1500,(5+25),5,25,3,single_point,6,38255,1530,1500,True,4.669572114944458
2000,(1+1),1,1,3,single_point,0,41050,41049,2000,True,15.35899019241333
2000,(1+1),1,1,3,single_point,1,35544,35543,2000,True,14.78663420677185
2000,(1+1),1,1,3,single_point,2,30515,30514,2000,True,12.732046842575073
2000,(1+1),1,1,3,single_point,3,26558,26557,2000,True,10.954077243804932
2000,(1+1),1,1,3,single_point,4,41831,41830,2000,True,16.923176765441895
2000,(1+1),1,1,3,single_point,5,36390,36389,2000,True,14.521061182022095
2000,(1+1),1,1,3,single_point,6,34004,34003,2000,True,12.48913311958313
2000,(2+10),2,10,3,single_point,0,55752,5575,2000,True,8.77187204360962
